id,title,description,category_id,status_id,venue_id,start_time,end_time,capacity,created_at,updated_at,title_clean,description_clean,duration_hours
ebfcf253-670a-4ee8-a549-32498bdca5ff,Cybersecurity Trends 2026,Expert panel on emerging cybersecurity threats and defense strategies.,4cc49aad-be98-4929-898d-592799d24d77,73f40aa5-ed3f-447b-ba07-351fca3c514d,3048d218-cd7f-4812-96b1-033adba0f934,2026-01-25 16:00:00.194,2026-01-25 18:00:00.194,30,2026-01-08 16:00:00.194,2026-01-22 16:00:00.194,cybersecurity trends 2026,expert panel on emerging cybersecurity threats and defense strategies,2.0
076677af-ae78-4f4d-a0a4-fed320324add,Freshman Welcome Party,Welcome event for new guests with ministry tours and activities.,f1bd4963-5111-49af-933a-96fe6a06ed5c,73f40aa5-ed3f-447b-ba07-351fca3c514d,3048d218-cd7f-4812-96b1-033adba0f934,2026-01-31 16:00:00.202,2026-01-31 22:00:00.202,30,2026-01-18 16:00:00.202,2026-01-26 16:00:00.202,freshman welcome party,welcome event for new guests with ministry tours and activities,6.0
17421e06-2d29-46bf-b4cc-96fdd85e0723,Cloud Computing Fundamentals,"Overview of AWS, Azure, and GCP services for modern application deployment.",4cc49aad-be98-4929-898d-592799d24d77,73f40aa5-ed3f-447b-ba07-351fca3c514d,9f7484b5-bc50-40d9-aefa-040339f12c6c,2026-01-25 08:00:00.206,2026-01-25 11:00:00.206,150,2026-01-14 08:00:00.206,2026-01-22 08:00:00.206,cloud computing fundamentals,overview of aws azure and gcp services for modern application deployment,3.0
9c4ee923-36d1-4822-85fd-73a19a69d869,The Future of AI in Ethiopia,"Distinguished speakers discuss AI adoption, challenges, and opportunities in the Ethiopian tech ecosystem.",4cc49aad-be98-4929-898d-592799d24d77,73f40aa5-ed3f-447b-ba07-351fca3c514d,4184d420-637a-4d78-aa64-8e25188034d0,2026-02-02 17:00:00.208,2026-02-02 20:00:00.208,80,2026-01-09 17:00:00.208,2026-02-01 17:00:00.208,the future of ai in ethiopia,distinguished speakers discuss ai adoption challenges and opportunities in the ethiopian tech ecosystem,3.0
428b7470-f951-4db9-8ed8-1bb45798c15b,Startup Pitch Competition,Present your startup idea to a panel of investors and mentors. Win seed funding!,edf21986-4d26-41a7-9ca1-221e1cc18b98,73f40aa5-ed3f-447b-ba07-351fca3c514d,4184d420-637a-4d78-aa64-8e25188034d0,2026-03-07 15:00:00.211,2026-03-07 17:00:00.211,100,2026-02-06 15:00:00.211,2026-03-04 15:00:00.211,startup pitch competition,present your startup idea to a panel of investors and mentors win seed funding,2.0
db5552dd-91c6-49c0-bdbb-a6ad72fe9967,Capture The Flag (CTF),"Cybersecurity competition: solve challenges in cryptography, forensics, and web exploitation.",edf21986-4d26-41a7-9ca1-221e1cc18b98,73f40aa5-ed3f-447b-ba07-351fca3c514d,4184d420-637a-4d78-aa64-8e25188034d0,2026-02-27 15:00:00.215,2026-02-27 23:00:00.215,100,2026-02-14 15:00:00.215,2026-02-22 15:00:00.215,capture the flag ctf,cybersecurity competition solve challenges in cryptography forensics and web exploitation,8.0
d6413f44-7949-4eca-9f13-1ad1e6b8395d,Competitive Programming Contest,Algorithmic problem solving competition. Test your data structures and algorithms skills.,edf21986-4d26-41a7-9ca1-221e1cc18b98,73f40aa5-ed3f-447b-ba07-351fca3c514d,c9f31c03-be6e-4648-9fa6-52d54689b1f5,2026-01-23 14:00:00.219,2026-01-23 18:00:00.219,80,2026-01-16 14:00:00.219,2026-01-20 14:00:00.219,competitive programming contest,algorithmic problem solving competition test your data structures and algorithms skills,4.0
8ab136db-af7e-4428-a861-1d9c21aad10e,MInT Hackathon 2026,"48-hour hackathon: build innovative solutions to real-world ministry problems. Prizes worth 50,000 ETB!",edf21986-4d26-41a7-9ca1-221e1cc18b98,73f40aa5-ed3f-447b-ba07-351fca3c514d,9f7484b5-bc50-40d9-aefa-040339f12c6c,2026-02-08 15:00:00.222,2026-02-08 19:00:00.222,150,2026-01-15 15:00:00.222,2026-02-04 15:00:00.222,aastu hackathon 2026,48 hour hackathon build innovative solutions to real world ministry problems prizes worth 50 000 etb,4.0
025164fb-b247-405d-a6ef-87432c7a883d,Ethical Hacking Workshop,"Learn penetration testing basics, vulnerability scanning, and responsible disclosure practices.",f92af889-ef17-42f4-a385-50ee057643f0,73f40aa5-ed3f-447b-ba07-351fca3c514d,3048d218-cd7f-4812-96b1-033adba0f934,2026-02-06 14:00:00.225,2026-02-06 17:00:00.225,30,2026-01-20 14:00:00.225,2026-01-31 14:00:00.225,ethical hacking workshop,learn penetration testing basics vulnerability scanning and responsible disclosure practices,3.0
359761bb-19e4-4f0e-a4cd-760261b19dc5,Tech Networking Night,Casual networking event for tech enthusiasts. Meet fellow developers and industry professionals.,f1bd4963-5111-49af-933a-96fe6a06ed5c,73f40aa5-ed3f-447b-ba07-351fca3c514d,c9f31c03-be6e-4648-9fa6-52d54689b1f5,2026-02-11 08:00:00.228,2026-02-11 11:00:00.228,150,2026-01-25 08:00:00.228,2026-02-04 08:00:00.228,tech networking night,casual networking event for tech enthusiasts meet fellow developers and industry professionals,3.0
